采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-13 11:05,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,2518,29,4041,46,2166,25,Selling
2026-07-13 11:10,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,2518,29,4041,46,2166,25,Selling
2026-07-13 11:15,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,2518,29,4041,46,2166,25,Selling
2026-07-13 11:20,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,18760,50,12044,32,6452,18,Selling
2026-07-13 11:25,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,18760,50,12044,32,6452,18,Selling
2026-07-13 11:30,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,29869,42,25937,37,14572,21,Selling
2026-07-13 11:35,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,29869,42,25937,37,14572,21,Selling
2026-07-13 11:40,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,39257,41,35644,37,20375,22,Selling
2026-07-13 11:45,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,49193,42,42948,37,24795,21,Selling
2026-07-13 11:50,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,49193,42,42948,37,24795,21,Selling
2026-07-13 11:55,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,63681,44,51990,36,30231,20,Selling
2026-07-13 12:00,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,63681,44,51990,36,30231,20,Selling
2026-07-13 12:05,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,63681,44,51990,36,30231,20,Selling
2026-07-13 12:10,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,73403,44,59717,36,34949,20,Selling
2026-07-13 12:15,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,82682,43,69299,36,40934,21,Selling
2026-07-13 12:20,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,82682,43,69299,36,40934,21,Selling
2026-07-13 12:25,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,89155,42,78151,37,46311,21,Selling
2026-07-13 12:30,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,89155,42,78151,37,46311,21,Selling
2026-07-13 12:35,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,97077,42,84274,36,50055,22,Selling
2026-07-13 12:40,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,97077,42,84274,36,50055,22,Selling
2026-07-13 12:45,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,108990,43,91696,36,54620,21,Selling
2026-07-13 12:50,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,108990,43,91696,36,54620,21,Selling
2026-07-13 12:55,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,116826,42,99180,36,59374,22,Selling
2026-07-13 13:00,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,116826,42,99180,36,59374,22,Selling
2026-07-13 13:05,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,116826,42,99180,36,59374,22,Selling
2026-07-13 13:10,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,124093,42,105571,36,63365,22,Selling
2026-07-13 13:15,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,131014,43,110424,36,66399,21,Selling
2026-07-13 13:20,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,131014,43,110424,36,66399,21,Selling
2026-07-13 13:25,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,134958,42,116778,36,70431,22,Selling
2026-07-13 13:30,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,134958,42,116778,36,70431,22,Selling
2026-07-13 13:35,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,142641,42,123363,36,74655,22,Selling
2026-07-13 13:40,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,142641,42,123363,36,74655,22,Selling
2026-07-13 13:45,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,148589,42,128863,36,78108,22,Selling
2026-07-13 13:50,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,148589,42,128863,36,78108,22,Selling
2026-07-13 13:55,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,157125,42,133983,36,81397,22,Selling
2026-07-13 14:00,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,157125,42,133983,36,81397,22,Selling
2026-07-13 14:05,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,163561,42,140270,36,85238,22,Selling
2026-07-13 14:10,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,163561,42,140270,36,85238,22,Selling
2026-07-13 14:15,周三102,世界杯,2026-07-15,2026-07-16,英格兰,阿根廷,2040508,168863,42,143734,36,87405,22,Selling
